courier_zone_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
50558,4,40,0,10,3343.2,1,,,0
50559,4,40,10.01,11,3349.45,1,,,0
50560,4,40,11.01,12,3355.7,1,,,0
50561,4,40,12.01,13,3361.95,1,,,0
50562,4,40,13.01,14,3368.2,1,,,0
50563,4,40,14.01,15,3374.45,1,,,0
50564,4,40,15.01,16,3380.7,1,,,0
50565,4,40,16.01,17,3386.95,1,,,0
50566,4,40,17.01,18,3393.2,1,,,0
50567,4,40,18.01,19,3399.45,1,,,0
50568,4,40,19.01,20,3405.7,1,,,0
50569,4,40,20.01,21,3410.3,1,,,0
50570,4,40,21.01,22,3414.9,1,,,0
50571,4,40,22.01,23,3419.5,1,,,0
50572,4,40,23.01,24,3424.1,1,,,0
50573,4,40,24.01,25,3428.7,1,,,0
50574,4,40,25.01,26,3433.3,1,,,0
50575,4,40,26.01,27,3437.9,1,,,0
50576,4,40,27.01,28,3442.5,1,,,0
50577,4,40,28.01,29,3447.1,1,,,0
50578,4,40,29.01,30,3451.7,1,,,0
50579,4,40,31,31.99,5039.415,1,,,0
50580,4,40,32,32.99,5196.915,1,,,0
50581,4,40,33,33.99,5354.415,1,,,0
50582,4,40,34,34.99,5511.915,1,,,0
50583,4,40,35,35.99,5669.415,1,,,0
50584,4,40,36,36.99,5826.915,1,,,0
50585,4,40,37,37.99,5984.415,1,,,0
50586,4,40,38,38.99,6141.915,1,,,0
50587,4,40,39,39.99,6299.415,1,,,0
50588,4,40,40,40.99,6456.915,1,,,0
50589,4,40,41,41.99,6614.415,1,,,0
50590,4,40,42,42.99,6771.915,1,,,0
50591,4,40,43,43.99,6929.415,1,,,0
50592,4,40,44,44.99,6803.478,1,,,0
50593,4,40,45,45.99,6954.678,1,,,0
50594,4,40,46,46.99,7105.878,1,,,0
50595,4,40,47,47.99,7257.078,1,,,0
50596,4,40,48,48.99,7408.278,1,,,0
50597,4,40,49,49.99,7559.478,1,,,0
50598,4,40,50,50.99,7710.678,1,,,0
50599,4,40,51,51.99,7861.878,1,,,0
50600,4,40,52,52.99,8013.078,1,,,0
50601,4,40,53,53.99,8164.278,1,,,0
50602,4,40,54,54.99,8315.478,1,,,0
50603,4,40,55,55.99,8466.678,1,,,0
50604,4,40,56,56.99,8617.878,1,,,0
50605,4,40,57,57.99,8769.078,1,,,0
50606,4,40,58,58.99,8920.278,1,,,0
50607,4,40,59,59.99,9071.478,1,,,0
50608,4,40,60,60.99,9222.678,1,,,0
50609,4,40,61,61.99,9373.878,1,,,0
50610,4,40,62,62.99,9525.078,1,,,0
50611,4,40,63,63.99,9676.278,1,,,0
50612,4,40,64,64.99,9827.478,1,,,0
50613,4,40,65,65.99,9978.678,1,,,0
50614,4,40,66,66.99,10129.878,1,,,0
50615,4,40,67,67.99,10281.078,1,,,0
50616,4,40,68,68.99,10432.278,1,,,0
50617,4,40,69,69.99,10289.52,1,,,0
50618,4,40,70,70.99,10436.52,1,,,0
50619,4,40,71,71.99,10583.52,1,,,0
50620,4,40,72,72.99,10730.52,1,,,0
50621,4,40,73,73.99,10877.52,1,,,0
50622,4,40,74,74.99,11024.52,1,,,0
50623,4,40,75,75.99,11171.52,1,,,0
50624,4,40,76,76.99,11318.52,1,,,0
50625,4,40,77,77.99,11465.52,1,,,0
50626,4,40,78,78.99,11612.52,1,,,0
50627,4,40,79,79.99,11759.52,1,,,0
50628,4,40,80,80.99,11906.52,1,,,0
50629,4,40,81,81.99,12053.52,1,,,0
50630,4,40,82,82.99,12200.52,1,,,0
50631,4,40,83,83.99,12347.52,1,,,0
50632,4,40,84,84.99,12494.52,1,,,0
50633,4,40,85,85.99,12641.52,1,,,0
50634,4,40,86,86.99,12788.52,1,,,0
50635,4,40,87,87.99,12935.52,1,,,0
50636,4,40,88,88.99,13082.52,1,,,0
50637,4,40,89,89.99,13229.52,1,,,0
50638,4,40,90,90.99,13376.52,1,,,0
50639,4,40,91,91.99,13523.52,1,,,0
50640,4,40,92,92.99,13670.52,1,,,0
50641,4,40,93,93.99,13817.52,1,,,0
50642,4,40,94,94.99,13964.52,1,,,0
50643,4,40,95,95.99,14111.52,1,,,0
50644,4,40,96,96.99,14258.52,1,,,0
50645,4,40,97,97.99,14405.52,1,,,0
50646,4,40,98,98.99,14552.52,1,,,0
50647,4,40,99,99.99,14699.52,1,,,0
50648,4,40,100,100.99,14846.52,1,,,0
50649,4,40,101,101.99,14993.52,1,,,0
50650,4,40,102,102.99,15140.52,1,,,0
50651,4,40,103,103.99,15287.52,1,,,0
50652,4,40,104,104.99,15434.52,1,,,0
50653,4,40,105,105.99,15581.52,1,,,0
50654,4,40,106,106.99,15728.52,1,,,0
50655,4,40,107,107.99,15875.52,1,,,0
50656,4,40,108,108.99,16022.52,1,,,0
50657,4,40,109,109.99,16169.52,1,,,0
50658,4,40,110,110.99,16316.52,1,,,0
50659,4,40,111,111.99,16463.52,1,,,0
50660,4,40,112,112.99,16610.52,1,,,0
50661,4,40,113,113.99,16757.52,1,,,0
50662,4,40,114,114.99,16904.52,1,,,0
50663,4,40,115,115.99,17051.52,1,,,0
50664,4,40,116,116.99,17198.52,1,,,0
50665,4,40,117,117.99,17345.52,1,,,0
50666,4,40,118,118.99,17492.52,1,,,0
50667,4,40,119,119.99,17639.52,1,,,0
50668,4,40,120,120.99,17786.52,1,,,0
50669,4,40,121,121.99,17933.52,1,,,0
50670,4,40,122,122.99,18080.52,1,,,0
50671,4,40,123,123.99,18227.52,1,,,0
50672,4,40,124,124.99,18374.52,1,,,0
50673,4,40,125,125.99,18521.52,1,,,0
50674,4,40,126,126.99,18668.52,1,,,0
50675,4,40,127,127.99,18815.52,1,,,0
50676,4,40,128,128.99,18962.52,1,,,0
50677,4,40,129,129.99,19109.52,1,,,0
50678,4,40,130,130.99,19256.52,1,,,0
