courier_zone_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
54652,4,44,140,140.99,30793.206,1,,,0
54653,4,44,141,141.99,31011.606,1,,,0
54654,4,44,142,142.99,31230.006,1,,,0
54655,4,44,143,143.99,31448.406,1,,,0
54656,4,44,144,144.99,31666.806,1,,,0
54657,4,44,145,145.99,31885.206,1,,,0
54658,4,44,146,146.99,32103.606,1,,,0
54659,4,44,147,147.99,32322.006,1,,,0
54660,4,44,148,148.99,32540.406,1,,,0
54661,4,44,149,149.99,32758.806,1,,,0
54662,4,44,150,150.99,32977.206,1,,,0
54663,4,44,151,151.99,33195.606,1,,,0
54664,4,44,152,152.99,33414.006,1,,,0
54665,4,44,153,153.99,33632.406,1,,,0
54666,4,44,154,154.99,33850.806,1,,,0
54667,4,44,155,155.99,34069.206,1,,,0
54668,4,44,156,156.99,34287.606,1,,,0
54669,4,44,157,157.99,34506.006,1,,,0
54670,4,44,158,158.99,34724.406,1,,,0
54671,4,44,159,159.99,34942.806,1,,,0
54672,4,44,160,160.99,35161.206,1,,,0
54673,4,44,161,161.99,35379.606,1,,,0
54674,4,44,162,162.99,35598.006,1,,,0
54675,4,44,163,163.99,35816.406,1,,,0
54676,4,44,164,164.99,36034.806,1,,,0
54677,4,44,165,165.99,36253.206,1,,,0
54678,4,44,166,166.99,36471.606,1,,,0
54679,4,44,167,167.99,36690.006,1,,,0
54680,4,44,168,168.99,36908.406,1,,,0
54681,4,44,169,169.99,37126.806,1,,,0
54682,4,44,170,170.99,37345.206,1,,,0
54683,4,44,171,171.99,37563.606,1,,,0
54684,4,44,172,172.99,37782.006,1,,,0
54685,4,44,173,173.99,38000.406,1,,,0
54686,4,44,174,174.99,38218.806,1,,,0
54687,4,44,175,175.99,38437.206,1,,,0
54688,4,44,176,176.99,38655.606,1,,,0
54689,4,44,177,177.99,38874.006,1,,,0
54690,4,44,178,178.99,39092.406,1,,,0
