courier_zone_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
58486,4,48,0,10,6967.8,1,,,0
58487,4,48,10.01,11,7257.45,1,,,0
58488,4,48,11.01,12,7541.1,1,,,0
58489,4,48,12.01,13,7827.75,1,,,0
58490,4,48,13.01,14,8114.4,1,,,0
58491,4,48,14.01,15,8401.05,1,,,0
58492,4,48,15.01,16,8687.7,1,,,0
58493,4,48,16.01,17,8974.35,1,,,0
58494,4,48,17.01,18,9261,1,,,0
58495,4,48,18.01,19,9547.65,1,,,0
58496,4,48,19.01,20,9834.3,1,,,0
58497,4,48,20.01,21,10132.5,1,,,0
58498,4,48,21.01,22,10430.7,1,,,0
58499,4,48,22.01,23,10729.95,1,,,0
58500,4,48,23.01,24,11028.15,1,,,0
58501,4,48,24.01,25,11326.35,1,,,0
58502,4,48,25.01,26,11624.55,1,,,0
58503,4,48,26.01,27,11922.75,1,,,0
58504,4,48,27.01,28,12222,1,,,0
58505,4,48,28.01,29,12520.2,1,,,0
58506,4,48,29.01,30,12818.4,1,,,0
58507,4,48,31,31.99,16795.74,1,,,0
58508,4,48,32,32.99,17320.74,1,,,0
58509,4,48,33,33.99,17845.74,1,,,0
58510,4,48,34,34.99,18370.74,1,,,0
58511,4,48,35,35.99,18895.74,1,,,0
58512,4,48,36,36.99,19420.74,1,,,0
58513,4,48,37,37.99,19945.74,1,,,0
58514,4,48,38,38.99,20470.74,1,,,0
58515,4,48,39,39.99,20995.74,1,,,0
58516,4,48,40,40.99,21520.74,1,,,0
58517,4,48,41,41.99,22045.74,1,,,0
58518,4,48,42,42.99,22570.74,1,,,0
58519,4,48,43,43.99,23095.74,1,,,0
58520,4,48,44,44.99,22959.387,1,,,0
58521,4,48,45,45.99,23469.687,1,,,0
58522,4,48,46,46.99,23979.987,1,,,0
58523,4,48,47,47.99,24490.287,1,,,0
58524,4,48,48,48.99,25000.587,1,,,0
58525,4,48,49,49.99,25510.887,1,,,0
58526,4,48,50,50.99,26021.187,1,,,0
58527,4,48,51,51.99,26531.487,1,,,0
58528,4,48,52,52.99,27041.787,1,,,0
58529,4,48,53,53.99,27552.087,1,,,0
58530,4,48,54,54.99,28062.387,1,,,0
58531,4,48,55,55.99,28572.687,1,,,0
58532,4,48,56,56.99,29082.987,1,,,0
58533,4,48,57,57.99,29593.287,1,,,0
58534,4,48,58,58.99,30103.587,1,,,0
58535,4,48,59,59.99,30613.887,1,,,0
58536,4,48,60,60.99,31124.187,1,,,0
58537,4,48,61,61.99,31634.487,1,,,0
58538,4,48,62,62.99,32144.787,1,,,0
58539,4,48,63,63.99,32655.087,1,,,0
58540,4,48,64,64.99,33165.387,1,,,0
58541,4,48,65,65.99,33675.687,1,,,0
58542,4,48,66,66.99,34185.987,1,,,0
58543,4,48,67,67.99,34696.287,1,,,0
58544,4,48,68,68.99,35206.587,1,,,0
58545,4,48,69,69.99,33732.6705,1,,,0
58546,4,48,70,70.99,34214.6205,1,,,0
58547,4,48,71,71.99,34696.5705,1,,,0
58548,4,48,72,72.99,35178.5205,1,,,0
58549,4,48,73,73.99,35660.4705,1,,,0
58550,4,48,74,74.99,36142.4205,1,,,0
58551,4,48,75,75.99,36624.3705,1,,,0
58552,4,48,76,76.99,37106.3205,1,,,0
58553,4,48,77,77.99,37588.2705,1,,,0
58554,4,48,78,78.99,38070.2205,1,,,0
58555,4,48,79,79.99,38552.1705,1,,,0
58556,4,48,80,80.99,39034.1205,1,,,0
58557,4,48,81,81.99,39516.0705,1,,,0
58558,4,48,82,82.99,39998.0205,1,,,0
58559,4,48,83,83.99,40479.9705,1,,,0
58560,4,48,84,84.99,40961.9205,1,,,0
58561,4,48,85,85.99,41443.8705,1,,,0
58562,4,48,86,86.99,41925.8205,1,,,0
58563,4,48,87,87.99,42407.7705,1,,,0
58564,4,48,88,88.99,42889.7205,1,,,0
58565,4,48,89,89.99,43371.6705,1,,,0
58566,4,48,90,90.99,43853.6205,1,,,0
58567,4,48,91,91.99,44335.5705,1,,,0
58568,4,48,92,92.99,44817.5205,1,,,0
58569,4,48,93,93.99,45299.4705,1,,,0
58570,4,48,94,94.99,45781.4205,1,,,0
58571,4,48,95,95.99,46263.3705,1,,,0
58572,4,48,96,96.99,46745.3205,1,,,0
58573,4,48,97,97.99,47227.2705,1,,,0
58574,4,48,98,98.99,47709.2205,1,,,0
58575,4,48,99,99.99,38847.105,1,,,0
58576,4,48,100,100.99,39235.605,1,,,0
58577,4,48,101,101.99,39624.105,1,,,0
58578,4,48,102,102.99,40012.605,1,,,0
58579,4,48,103,103.99,40401.105,1,,,0
58580,4,48,104,104.99,40789.605,1,,,0
