courier_zone_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
52540,4,42,0,10,3199.35,1,,,0
52541,4,42,10.01,11,3339,1,,,0
52542,4,42,11.01,12,3478.65,1,,,0
52543,4,42,12.01,13,3618.3,1,,,0
52544,4,42,13.01,14,3757.95,1,,,0
52545,4,42,14.01,15,3897.6,1,,,0
52546,4,42,15.01,16,4037.25,1,,,0
52547,4,42,16.01,17,4176.9,1,,,0
52548,4,42,17.01,18,4316.55,1,,,0
52549,4,42,18.01,19,4456.2,1,,,0
52550,4,42,19.01,20,4595.85,1,,,0
52551,4,42,20.01,21,4744.95,1,,,0
52552,4,42,21.01,22,4894.05,1,,,0
52553,4,42,22.01,23,5043.15,1,,,0
52554,4,42,23.01,24,5192.25,1,,,0
52555,4,42,24.01,25,5341.35,1,,,0
52556,4,42,25.01,26,5490.45,1,,,0
52557,4,42,26.01,27,5639.55,1,,,0
52558,4,42,27.01,28,5788.65,1,,,0
52559,4,42,28.01,29,5937.75,1,,,0
52560,4,42,29.01,30,6086.85,1,,,0
52561,4,42,31,31.99,6786.069,1,,,0
52562,4,42,32,32.99,6998.169,1,,,0
52563,4,42,33,33.99,7210.269,1,,,0
52564,4,42,34,34.99,7422.369,1,,,0
52565,4,42,35,35.99,7634.469,1,,,0
52566,4,42,36,36.99,7846.569,1,,,0
52567,4,42,37,37.99,8058.669,1,,,0
52568,4,42,38,38.99,8270.769,1,,,0
52569,4,42,39,39.99,8482.869,1,,,0
52570,4,42,40,40.99,8694.969,1,,,0
52571,4,42,41,41.99,8907.069,1,,,0
52572,4,42,42,42.99,9119.169,1,,,0
52573,4,42,43,43.99,9331.269,1,,,0
52574,4,42,44,44.99,9212.6925,1,,,0
52575,4,42,45,45.99,9417.4425,1,,,0
52576,4,42,46,46.99,9622.1925,1,,,0
52577,4,42,47,47.99,9826.9425,1,,,0
52578,4,42,48,48.99,10031.6925,1,,,0
52579,4,42,49,49.99,10236.4425,1,,,0
52580,4,42,50,50.99,10441.1925,1,,,0
52581,4,42,51,51.99,10645.9425,1,,,0
52582,4,42,52,52.99,10850.6925,1,,,0
52583,4,42,53,53.99,11055.4425,1,,,0
52584,4,42,54,54.99,11260.1925,1,,,0
52585,4,42,55,55.99,11464.9425,1,,,0
52586,4,42,56,56.99,11669.6925,1,,,0
52587,4,42,57,57.99,11874.4425,1,,,0
52588,4,42,58,58.99,12079.1925,1,,,0
52589,4,42,59,59.99,12283.9425,1,,,0
52590,4,42,60,60.99,12488.6925,1,,,0
52591,4,42,61,61.99,12693.4425,1,,,0
52592,4,42,62,62.99,12898.1925,1,,,0
52593,4,42,63,63.99,13102.9425,1,,,0
52594,4,42,64,64.99,13307.6925,1,,,0
52595,4,42,65,65.99,13512.4425,1,,,0
52596,4,42,66,66.99,13717.1925,1,,,0
52597,4,42,67,67.99,13921.9425,1,,,0
52598,4,42,68,68.99,14126.6925,1,,,0
52599,4,42,69,69.99,14110.974,1,,,0
52600,4,42,70,70.99,14312.574,1,,,0
52601,4,42,71,71.99,14514.174,1,,,0
52602,4,42,72,72.99,14715.774,1,,,0
52603,4,42,73,73.99,14917.374,1,,,0
52604,4,42,74,74.99,15118.974,1,,,0
52605,4,42,75,75.99,15320.574,1,,,0
52606,4,42,76,76.99,15522.174,1,,,0
52607,4,42,77,77.99,15723.774,1,,,0
52608,4,42,78,78.99,15925.374,1,,,0
52609,4,42,79,79.99,16126.974,1,,,0
52610,4,42,80,80.99,16328.574,1,,,0
52611,4,42,81,81.99,16530.174,1,,,0
52612,4,42,82,82.99,16731.774,1,,,0
52613,4,42,83,83.99,16933.374,1,,,0
52614,4,42,84,84.99,17134.974,1,,,0
52615,4,42,85,85.99,17336.574,1,,,0
52616,4,42,86,86.99,17538.174,1,,,0
52617,4,42,87,87.99,17739.774,1,,,0
52618,4,42,88,88.99,17941.374,1,,,0
52619,4,42,89,89.99,18142.974,1,,,0
52620,4,42,90,90.99,18344.574,1,,,0
52621,4,42,91,91.99,18546.174,1,,,0
52622,4,42,92,92.99,18747.774,1,,,0
52623,4,42,93,93.99,18949.374,1,,,0
52624,4,42,94,94.99,19150.974,1,,,0
52625,4,42,95,95.99,19352.574,1,,,0
