courier_zone_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
53531,4,43,0,10,3697.05,1,,,0
53532,4,43,10.01,11,3809.4,1,,,0
53533,4,43,11.01,12,3921.75,1,,,0
53534,4,43,12.01,13,4034.1,1,,,0
53535,4,43,13.01,14,4146.45,1,,,0
53536,4,43,14.01,15,4258.8,1,,,0
53537,4,43,15.01,16,4371.15,1,,,0
53538,4,43,16.01,17,4483.5,1,,,0
53539,4,43,17.01,18,4595.85,1,,,0
53540,4,43,18.01,19,4708.2,1,,,0
53541,4,43,19.01,20,4820.55,1,,,0
53542,4,43,20.01,21,4999.05,1,,,0
53543,4,43,21.01,22,5177.55,1,,,0
53544,4,43,22.01,23,5356.05,1,,,0
53545,4,43,23.01,24,5534.55,1,,,0
53546,4,43,24.01,25,5713.05,1,,,0
53547,4,43,25.01,26,5891.55,1,,,0
53548,4,43,26.01,27,6076.05,1,,,0
53549,4,43,27.01,28,6248.55,1,,,0
53550,4,43,28.01,29,6427.05,1,,,0
53551,4,43,29.01,30,6605.55,1,,,0
53552,4,43,31,31.99,7827.3435,1,,,0
53553,4,43,32,32.99,8071.9935,1,,,0
53554,4,43,33,33.99,8316.6435,1,,,0
53555,4,43,34,34.99,8561.2935,1,,,0
53556,4,43,35,35.99,8805.9435,1,,,0
53557,4,43,36,36.99,9050.5935,1,,,0
53558,4,43,37,37.99,9295.2435,1,,,0
53559,4,43,38,38.99,9539.8935,1,,,0
53560,4,43,39,39.99,9784.5435,1,,,0
53561,4,43,40,40.99,10029.1935,1,,,0
53562,4,43,41,41.99,10273.8435,1,,,0
53563,4,43,42,42.99,10518.4935,1,,,0
53564,4,43,43,43.99,10763.1435,1,,,0
53565,4,43,44,44.99,10913.3145,1,,,0
53566,4,43,45,45.99,11155.8645,1,,,0
53567,4,43,46,46.99,11398.4145,1,,,0
53568,4,43,47,47.99,11640.9645,1,,,0
53569,4,43,48,48.99,11883.5145,1,,,0
53570,4,43,49,49.99,12126.0645,1,,,0
