courier_zone_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
51549,4,41,0,10,4463.55,1,,,0
51550,4,41,10.01,11,4578,1,,,0
51551,4,41,11.01,12,4692.45,1,,,0
51552,4,41,12.01,13,4806.9,1,,,0
51553,4,41,13.01,14,4921.35,1,,,0
51554,4,41,14.01,15,5035.8,1,,,0
51555,4,41,15.01,16,5150.25,1,,,0
51556,4,41,16.01,17,5264.7,1,,,0
51557,4,41,17.01,18,5379.15,1,,,0
51558,4,41,18.01,19,5493.6,1,,,0
51559,4,41,19.01,20,5608.05,1,,,0
51560,4,41,20.01,21,5719.35,1,,,0
51561,4,41,21.01,22,5830.65,1,,,0
51562,4,41,22.01,23,5941.95,1,,,0
51563,4,41,23.01,24,6053.25,1,,,0
51564,4,41,24.01,25,6164.55,1,,,0
51565,4,41,25.01,26,6275.85,1,,,0
51566,4,41,26.01,27,6387.15,1,,,0
51567,4,41,27.01,28,6498.45,1,,,0
51568,4,41,28.01,29,6609.75,1,,,0
51569,4,41,29.01,30,6721.05,1,,,0
51570,4,41,31,31.99,6013.5105,1,,,0
51571,4,41,32,32.99,6201.4605,1,,,0
51572,4,41,33,33.99,6389.4105,1,,,0
51573,4,41,34,34.99,6577.3605,1,,,0
51574,4,41,35,35.99,6765.3105,1,,,0
51575,4,41,36,36.99,6953.2605,1,,,0
51576,4,41,37,37.99,7141.2105,1,,,0
51577,4,41,38,38.99,7329.1605,1,,,0
51578,4,41,39,39.99,7517.1105,1,,,0
51579,4,41,40,40.99,7705.0605,1,,,0
51580,4,41,41,41.99,7893.0105,1,,,0
51581,4,41,42,42.99,8080.9605,1,,,0
51582,4,41,43,43.99,8268.9105,1,,,0
51583,4,41,44,44.99,8126.184,1,,,0
51584,4,41,45,45.99,8306.784,1,,,0
51585,4,41,46,46.99,8487.384,1,,,0
51586,4,41,47,47.99,8667.984,1,,,0
51587,4,41,48,48.99,8848.584,1,,,0
51588,4,41,49,49.99,9029.184,1,,,0
51589,4,41,50,50.99,9209.784,1,,,0
51590,4,41,51,51.99,9390.384,1,,,0
51591,4,41,52,52.99,9570.984,1,,,0
51592,4,41,53,53.99,9751.584,1,,,0
51593,4,41,54,54.99,9932.184,1,,,0
51594,4,41,55,55.99,10112.784,1,,,0
51595,4,41,56,56.99,10293.384,1,,,0
51596,4,41,57,57.99,10473.984,1,,,0
51597,4,41,58,58.99,10654.584,1,,,0
51598,4,41,59,59.99,10835.184,1,,,0
51599,4,41,60,60.99,11015.784,1,,,0
51600,4,41,61,61.99,11196.384,1,,,0
51601,4,41,62,62.99,11376.984,1,,,0
51602,4,41,63,63.99,11557.584,1,,,0
51603,4,41,64,64.99,11738.184,1,,,0
51604,4,41,65,65.99,11918.784,1,,,0
51605,4,41,66,66.99,12099.384,1,,,0
51606,4,41,67,67.99,12279.984,1,,,0
51607,4,41,68,68.99,12460.584,1,,,0
51608,4,41,69,69.99,12200.247,1,,,0
51609,4,41,70,70.99,12374.547,1,,,0
51610,4,41,71,71.99,12548.847,1,,,0
51611,4,41,72,72.99,12723.147,1,,,0
51612,4,41,73,73.99,12897.447,1,,,0
51613,4,41,74,74.99,13071.747,1,,,0
51614,4,41,75,75.99,13246.047,1,,,0
51615,4,41,76,76.99,13420.347,1,,,0
51616,4,41,77,77.99,13594.647,1,,,0
51617,4,41,78,78.99,13768.947,1,,,0
51618,4,41,79,79.99,13943.247,1,,,0
51619,4,41,80,80.99,14117.547,1,,,0
51620,4,41,81,81.99,14291.847,1,,,0
51621,4,41,82,82.99,14466.147,1,,,0
51622,4,41,83,83.99,14640.447,1,,,0
51623,4,41,84,84.99,14814.747,1,,,0
51624,4,41,85,85.99,14989.047,1,,,0
51625,4,41,86,86.99,15163.347,1,,,0
51626,4,41,87,87.99,15337.647,1,,,0
51627,4,41,88,88.99,15511.947,1,,,0
51628,4,41,89,89.99,15686.247,1,,,0
51629,4,41,90,90.99,15860.547,1,,,0
51630,4,41,91,91.99,16034.847,1,,,0
51631,4,41,92,92.99,16209.147,1,,,0
51632,4,41,93,93.99,16383.447,1,,,0
51633,4,41,94,94.99,16557.747,1,,,0
51634,4,41,95,95.99,16732.047,1,,,0
51635,4,41,96,96.99,16906.347,1,,,0
51636,4,41,97,97.99,17080.647,1,,,0
51637,4,41,98,98.99,17254.947,1,,,0
51638,4,41,99,99.99,16693.3305,1,,,0
51639,4,41,100,100.99,16860.2805,1,,,0
51640,4,41,101,101.99,17027.2305,1,,,0
51641,4,41,102,102.99,17194.1805,1,,,0
51642,4,41,103,103.99,17361.1305,1,,,0
51643,4,41,104,104.99,17528.0805,1,,,0
51644,4,41,105,105.99,17695.0305,1,,,0
51645,4,41,106,106.99,17861.9805,1,,,0
51646,4,41,107,107.99,18028.9305,1,,,0
51647,4,41,108,108.99,18195.8805,1,,,0
51648,4,41,109,109.99,18362.8305,1,,,0
51649,4,41,110,110.99,18529.7805,1,,,0
