courier_zone_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
59477,4,49,0,10,6482.7,1,,,0
59478,4,49,10.01,11,6736.8,1,,,0
59479,4,49,11.01,12,6990.9,1,,,0
59480,4,49,12.01,13,7246.05,1,,,0
59481,4,49,13.01,14,7500.15,1,,,0
59482,4,49,14.01,15,7754.25,1,,,0
59483,4,49,15.01,16,8008.35,1,,,0
59484,4,49,16.01,17,8232.45,1,,,0
59485,4,49,17.01,18,8517.6,1,,,0
59486,4,49,18.01,19,8771.7,1,,,0
59487,4,49,19.01,20,9025.8,1,,,0
59488,4,49,20.01,21,9304.05,1,,,0
59489,4,49,21.01,22,9581.25,1,,,0
59490,4,49,22.01,23,9859.5,1,,,0
59491,4,49,23.01,24,10136.7,1,,,0
59492,4,49,24.01,25,10414.95,1,,,0
59493,4,49,25.01,26,10693.2,1,,,0
59494,4,49,26.01,27,10970.4,1,,,0
59495,4,49,27.01,28,11248.65,1,,,0
59496,4,49,28.01,29,11525.85,1,,,0
59497,4,49,29.01,30,11804.1,1,,,0
59498,4,49,31,31.99,13234.263,1,,,0
59499,4,49,32,32.99,13647.963,1,,,0
59500,4,49,33,33.99,14061.663,1,,,0
59501,4,49,34,34.99,14475.363,1,,,0
59502,4,49,35,35.99,14889.063,1,,,0
59503,4,49,36,36.99,15302.763,1,,,0
59504,4,49,37,37.99,15716.463,1,,,0
59505,4,49,38,38.99,16130.163,1,,,0
59506,4,49,39,39.99,16552.863,1,,,0
59507,4,49,40,40.99,16957.563,1,,,0
59508,4,49,41,41.99,17371.263,1,,,0
59509,4,49,42,42.99,17784.963,1,,,0
59510,4,49,43,43.99,18198.663,1,,,0
59511,4,49,44,44.99,18092.7285,1,,,0
59512,4,49,45,45.99,18494.8785,1,,,0
59513,4,49,46,46.99,18897.0285,1,,,0
59514,4,49,47,47.99,19299.1785,1,,,0
59515,4,49,48,48.99,19701.3285,1,,,0
59516,4,49,49,49.99,20103.4785,1,,,0
59517,4,49,50,50.99,20505.6285,1,,,0
59518,4,49,51,51.99,20907.7785,1,,,0
59519,4,49,52,52.99,21309.9285,1,,,0
59520,4,49,53,53.99,21712.0785,1,,,0
59521,4,49,54,54.99,22114.2285,1,,,0
59522,4,49,55,55.99,22516.3785,1,,,0
59523,4,49,56,56.99,22918.5285,1,,,0
59524,4,49,57,57.99,23320.6785,1,,,0
59525,4,49,58,58.99,23722.8285,1,,,0
59526,4,49,59,59.99,24124.9785,1,,,0
59527,4,49,60,60.99,24527.1285,1,,,0
59528,4,49,61,61.99,24929.2785,1,,,0
59529,4,49,62,62.99,25331.4285,1,,,0
59530,4,49,63,63.99,25733.5785,1,,,0
59531,4,49,64,64.99,26135.7285,1,,,0
59532,4,49,65,65.99,26537.8785,1,,,0
59533,4,49,66,66.99,26940.0285,1,,,0
59534,4,49,67,67.99,27342.1785,1,,,0
59535,4,49,68,68.99,27744.3285,1,,,0
59536,4,49,69.00,69.99,26750.178,1,,,0
59537,4,49,70.00,70.99,27132.378,1,,,0
59538,4,49,71.00,71.99,27514.578,1,,,0
59539,4,49,72.00,72.99,27896.778,1,,,0
59540,4,49,73.00,73.99,28278.978,1,,,0
59541,4,49,74.00,74.99,28661.178,1,,,0
59542,4,49,75.00,75.99,29043.378,1,,,0
59543,4,49,76.00,76.99,29425.578,1,,,0
59544,4,49,77.00,77.99,29807.778,1,,,0
59545,4,49,78.00,78.99,30189.978,1,,,0
59546,4,49,79.00,79.99,30572.178,1,,,0
59547,4,49,80.00,80.99,30954.378,1,,,0
59548,4,49,81.00,81.99,31336.578,1,,,0
59549,4,49,82.00,82.99,31718.778,1,,,0
59550,4,49,83.00,83.99,32100.978,1,,,0
59551,4,49,84.00,84.99,32483.178,1,,,0
59552,4,49,85.00,85.99,32865.378,1,,,0
59553,4,49,86.00,86.99,33247.578,1,,,0
59554,4,49,87.00,87.99,33629.778,1,,,0
59555,4,49,88.00,88.99,34011.978,1,,,0
59556,4,49,89.00,89.99,34394.178,1,,,0
59557,4,49,90.00,90.99,34776.378,1,,,0
59558,4,49,91.00,91.99,35158.578,1,,,0
59559,4,49,92.00,92.99,35540.778,1,,,0
59560,4,49,93.00,93.99,35922.978,1,,,0
59561,4,49,94.00,94.99,36305.178,1,,,0
59562,4,49,95.00,95.99,36687.378,1,,,0
59563,4,49,96.00,96.99,37069.578,1,,,0
59564,4,49,97.00,97.99,37451.778,1,,,0
59565,4,49,98.00,98.99,37833.978,1,,,0
59566,4,49,99.00,99.99,31392.8505,1,,,0
59567,4,49,100.00,100.99,31706.8005,1,,,0
59568,4,49,101.00,101.99,32020.7505,1,,,0
59569,4,49,102.00,102.99,32334.7005,1,,,0
59570,4,49,103.00,103.99,32648.6505,1,,,0
59571,4,49,104.00,104.99,32962.6005,1,,,0
59572,4,49,105.00,105.99,33276.5505,1,,,0
59573,4,49,106.00,106.99,33590.5005,1,,,0
59574,4,49,107.00,107.99,33904.4505,1,,,0
59575,4,49,108.00,108.99,34218.4005,1,,,0
59576,4,49,109.00,109.99,34532.3505,1,,,0
59577,4,49,110.00,110.99,34846.3005,1,,,0
59578,4,49,111.00,111.99,35160.2505,1,,,0
59579,4,49,112.00,112.99,35474.2005,1,,,0
59580,4,49,113.00,113.99,35788.1505,1,,,0
59581,4,49,114.00,114.99,36102.1005,1,,,0
59582,4,49,115.00,115.99,36416.0505,1,,,0
59583,4,49,116.00,116.99,36730.0005,1,,,0
59584,4,49,117.00,117.99,37043.9505,1,,,0
59585,4,49,118.00,118.99,37357.9005,1,,,0
59586,4,49,119.00,119.99,37671.8505,1,,,0
59587,4,49,120.00,120.99,37985.8005,1,,,0
59588,4,49,121.00,121.99,38299.7505,1,,,0
59589,4,49,122.00,122.99,38613.7005,1,,,0
59590,4,49,123.00,123.99,38927.6505,1,,,0
59591,4,49,124.00,124.99,39241.6005,1,,,0
59592,4,49,125.00,125.99,39555.5505,1,,,0
59593,4,49,126.00,126.99,39869.5005,1,,,0
59594,4,49,127.00,127.99,40183.4505,1,,,0
59595,4,49,128.00,128.99,40497.4005,1,,,0
59596,4,49,129.00,129.99,40811.3505,1,,,0
59597,4,49,130.00,130.99,41125.3005,1,,,0
59598,4,49,131.00,131.99,41439.2505,1,,,0
59599,4,49,132.00,132.99,41753.2005,1,,,0
59600,4,49,133.00,133.99,42067.1505,1,,,0
59601,4,49,134.00,134.99,42381.1005,1,,,0
59602,4,49,135.00,135.99,42695.0505,1,,,0
59603,4,49,136.00,136.99,43009.0005,1,,,0
59604,4,49,137.00,137.99,43322.9505,1,,,0
